Projected_Year,Simulation,Claim_1,Claim_2,Claim_3,Claim_4,Claim_5,Claim_6,Claim_7,Claim_8,Claim_9,Claim_10,Claim_11,Claim_12,Claim_13,Claim_14,Claim_15,Claim_16,Claim_17,Claim_18,Claim_19,Claim_20,Claim_21,Claim_22,Claim_23,Claim_24,Claim_25,Claim_26,Claim_27,Claim_28,Claim_29,Claim_30,Claim_31,Claim_32,Claim_33,Claim_34,Claim_35,Claim_36,Claim_37,Claim_38,Claim_39,Claim_40,Claim_41,Claim_42,Claim_43,Claim_44,Claim_45,Claim_46,Claim_47,Claim_48,Claim_49,Claim_50,Claim_51,Claim_52,Claim_53,Claim_54,Claim_55,Claim_56,Claim_57,Claim_58,Claim_59,Claim_60,Claim_61,Claim_62,Claim_63,Claim_64,Claim_65,Claim_66,Claim_67,Claim_68,Claim_69,Claim_70,Claim_71,Claim_72,Claim_73,Claim_74,Claim_75,Claim_76,Claim_77,Claim_78,Claim_79,Claim_80,Claim_81,Claim_82,Claim_83
2026,4300,2116,298,5,1833,298,218,102,50000,7645,50000,50000,13310,3092,10186,120,222,293,115,9845,39,510,269,217,50000,81,1571,53,74,50000.0,42.0,3597.0,8461.0,2361.0,8170.0,851.0,894.0,378.0,51.0,50000.0,33.0,661.0,50000.0,330.0,83.0,50000.0,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4301,19,9101,11998,296,1988,3123,31406,2149,371,1172,362,17036,32664,7774,26726,6386,35123,12336,59,457,148,178,50000,586,10349,770,1389,511,5908.0,32406.0,1739.0,871.0,16837.0,4444.0,45330.0,385.0,7188.0,2236.0,62.0,50000.0,593.0,8907.0,50000.0,433.0,50000.0,50000.0,2175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4302,659,71,1353,10456,191,7476,966,239,751,4734,153,2895,424,50000,62,7263,4088,2909,155,1055,1239,2388,154,29995,2144,3233,55,16262,13563.0,50000.0,1918.0,54.0,17998.0,743.0,50000.0,1454.0,766.0,28.0,1936.0,12821.0,86.0,42.0,717.0,145.0,129.0,13698.0,167.0,6197.0,1068.0,50000.0,23.0,50000.0,117.0,3471.0,4.0,8485.0,5597.0,2308.0,2470.0,,,,,,,,,,,,,,,,,,,,,,,,
2026,4303,7232,25206,1718,2508,5930,11965,1133,369,50000,239,12538,5968,5457,63,3762,25927,174,376,1035,40,180,178,118,19,1011,123,3909,50000,555.0,590.0,1730.0,6343.0,5780.0,2624.0,543.0,1742.0,5108.0,7340.0,19261.0,1223.0,9519.0,637.0,0.0,449.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4304,50000,1574,50000,1480,1144,73,2146,7805,50000,328,7751,2572,699,4458,2372,8625,249,9193,2792,30002,1608,37,8851,10799,11439,1855,376,3132,50000.0,1.0,3709.0,4199.0,442.0,7892.0,154.0,50000.0,7923.0,16798.0,6337.0,17909.0,154.0,31003.0,54.0,1443.0,2433.0,733.0,6749.0,262.0,102.0,105.0,428.0,20520.0,2202.0,5888.0,378.0,307.0,534.0,656.0,419.0,136.0,1664.0,50000.0,,,,,,,,,,,,,,,,,,,,,
2026,4305,3392,4507,39683,4021,50000,2009,1351,1162,170,38,2178,50000,3902,50000,2312,95,184,107,195,1239,50000,10136,89,50000,50000,50000,11616,132,39932.0,4743.0,6852.0,79.0,5566.0,1641.0,21.0,140.0,497.0,24097.0,1233.0,825.0,918.0,2629.0,8476.0,889.0,7366.0,3227.0,318.0,50000.0,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4306,64,3291,268,37,1509,10217,50000,1433,8994,197,903,50000,1248,13023,4922,126,26592,247,50000,2544,1968,3408,2374,683,2975,24062,6756,95,1432.0,73.0,9335.0,493.0,917.0,688.0,56.0,283.0,889.0,24.0,146.0,666.0,590.0,5175.0,1160.0,2767.0,8.0,50000.0,50000.0,12615.0,5833.0,1308.0,753.0,4165.0,751.0,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4307,5,4677,517,2488,12877,4250,4527,1194,2083,378,204,116,832,68,7274,7108,1090,3347,40,21,843,2,8631,1903,921,16177,7418,17465,305.0,328.0,447.0,38241.0,8460.0,259.0,21.0,380.0,717.0,189.0,69.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4308,859,388,45,88,671,990,2804,915,3365,50000,538,5177,7689,49469,90,67,5827,4804,8960,1605,50000,560,910,808,503,48139,50000,2018,50000.0,33594.0,3913.0,4820.0,1693.0,50000.0,116.0,1539.0,326.0,630.0,49887.0,6871.0,14.0,1.0,330.0,742.0,287.0,2494.0,171.0,24368.0,50000.0,381.0,12487.0,4838.0,3209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,4309,1756,7562,62,50000,346,12666,16,252,147,33,3,78,3848,13,1300,982,744,1031,2870,47,2239,26470,50000,383,52,50000,6097,365,20591.0,50000.0,11172.0,344.0,50000.0,50000.0,1596.0,60.0,456.0,50000.0,29628.0,258.0,60.0,601.0,8128.0,430.0,2102.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,4310,370,48839,1090,179,5085,7997,124,14492,39848,16205,50,59,281,32003,5041,669,2482,163,31351,1718,2105,2326,14877,45334,3637,2971,10670,972,7987.0,36443.0,5399.0,50000.0,59.0,4975.0,13214.0,24613.0,78.0,50000.0,23781.0,504.0,3334.0,1636.0,15.0,8508.0,2176.0,24241.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
